,images,MorF
0,"[[150 149 151 ... 151 150 150]
 [150 153 149 ... 147 151 148]
 [150 147 107 ... 196 111 154]
 ...
 [151 149  43 ... 170 184 150]
 [150 150  64 ... 181 183 150]
 [150 152 152 ... 149 155 152]]",F
1,"[[149 148 150 ... 150 150 150]
 [150 153 152 ... 151 148 150]
 [150 147  55 ... 114 117 149]
 ...
 [150 152 151 ...   8  15 151]
 [150 148 134 ...  19  27 149]
 [151 150 149 ... 148 150 152]]",F
2,"[[150 150 150 ... 150 150 150]
 [150 153 147 ... 150 153 148]
 [152 144 102 ... 181 180 152]
 ...
 [150 150 132 ... 183 185 147]
 [150 149 136 ... 183 182 152]
 [150 152 148 ... 150 151 148]]",F
3,"[[150 150 150 ... 150 150 150]
 [150 153 147 ... 150 153 148]
 [152 144 102 ... 181 180 152]
 ...
 [150 150 132 ... 183 185 147]
 [150 149 136 ... 183 182 152]
 [150 152 148 ... 150 151 148]]",F
4,"[[148 152 150 ... 150 149 151]
 [151 147 149 ... 151 148 152]
 [150 153 138 ... 107 139 148]
 ...
 [150 148 225 ...  22  50 152]
 [150 149 213 ...  48  77 149]
 [150 148 149 ... 152 147 153]]",M
5,"[[149 151 148 ... 150 150 150]
 [151 145 154 ... 146 150 152]
 [151 151  46 ...  35  42 150]
 ...
 [150 146 227 ... 137 141 150]
 [150 151 216 ... 123 137 150]
 [150 147 149 ... 153 149 151]]",M
6,"[[151 150 149 ... 150 150 150]
 [150 148 151 ... 152 148 150]
 [149 151 164 ...  97  73 150]
 ...
 [149 152  42 ... 206 180 150]
 [149 151  52 ... 184 164 150]
 [150 150 150 ... 150 150 150]]",F
7,"[[150 150 150 ... 150 152 149]
 [149 146 152 ... 152 146 153]
 [152 151  59 ...  96  96 149]
 ...
 [149 149  78 ...  37  50 151]
 [150 151 135 ...  45  62 149]
 [150 149 151 ... 151 150 150]]",F
8,"[[149 150 150 ... 149 151 150]
 [150 150 150 ... 151 148 151]
 [150 148  63 ... 148 149 150]
 ...
 [149 150  72 ... 148 150 150]
 [150 151 104 ... 152 149 150]
 [150 154 148 ... 148 150 150]]",F
9,"[[150 150 150 ... 152 148 151]
 [150 150 148 ... 150 153 146]
 [150 155  68 ...  29  41 151]
 ...
 [148 150 187 ...  24  29 150]
 [150 154 180 ...  26  39 152]
 [150 149 152 ... 151 153 147]]",M
10,"[[151 150 149 ... 152 146 152]
 [150 145 152 ... 149 150 148]
 [149 153  48 ...  80  64 150]
 ...
 [149 153  50 ...  50  53 151]
 [150 151  63 ...  55  72 148]
 [149 150 149 ... 151 150 151]]",M
11,"[[151 149 151 ... 152 150 151]
 [148 153 147 ... 148 150 148]
 [150 147 105 ...  73  78 152]
 ...
 [149 151  57 ...  75  64 152]
 [151 149  65 ...  74  67 147]
 [148 154 147 ... 149 149 154]]",F
12,"[[150 150 149 ... 151 149 150]
 [150 148 154 ... 150 149 150]
 [149 149  41 ... 125 120 150]
 ...
 [150 150 107 ...  74  74 150]
 [150 150 115 ...  73  73 150]
 [150 150 150 ... 150 150 150]]",M
13,"[[150 150 149 ... 150 150 150]
 [149 153 145 ... 152 150 154]
 [151 147  67 ... 195 203 146]
 ...
 [152 147 222 ... 217 211 148]
 [150 150 208 ... 214 203 153]
 [150 147 153 ... 147 153 145]]",M
14,"[[150 151 147 ... 151 152 147]
 [150 147 155 ... 150 148 151]
 [150 151  38 ...  29  40 152]
 ...
 [150 148  24 ...  31  46 150]
 [150 150  32 ...  47  50 149]
 [150 154 147 ... 147 151 152]]",F
15,"[[150 151 149 ... 150 150 150]
 [151 146 154 ... 150 149 148]
 [149 154 198 ...  33  42 151]
 ...
 [150 150 190 ... 139 130 146]
 [150 150 191 ... 134 130 148]
 [152 144 154 ... 153 147 153]]",F
16,"[[150 150 150 ... 150 150 150]
 [150 146 152 ... 151 150 151]
 [150 152 138 ... 133 145 148]
 ...
 [151 145  37 ...  54  82 151]
 [150 152  52 ...  57  83 146]
 [150 150 146 ... 152 147 152]]",F
17,"[[150 150 150 ... 150 150 150]
 [150 150 150 ... 152 149 154]
 [150 148 170 ... 153 139 146]
 ...
 [151 151 178 ... 175 207 151]
 [150 152 174 ... 178 214 149]
 [149 146 153 ... 153 144 151]]",M
18,"[[149 151 150 ... 150 150 150]
 [153 145 152 ... 148 149 149]
 [148 149  29 ...  39  48 150]
 ...
 [152 151  48 ...  70  58 149]
 [149 151  51 ...  66  67 150]
 [150 150 151 ... 149 151 152]]",M
19,"[[148 151 149 ... 150 150 150]
 [152 146 149 ... 150 146 155]
 [149 157 206 ...  60  78 147]
 ...
 [150 148  35 ...  21  28 150]
 [150 153  43 ...  33  44 150]
 [151 146 154 ... 148 153 150]]",F
20,"[[150 150 148 ... 150 150 151]
 [150 149 154 ... 151 152 148]
 [149 152 179 ... 173 171 152]
 ...
 [151 149  75 ...  81  73 148]
 [149 149  84 ...  84  73 155]
 [150 152 147 ... 148 151 147]]",M
21,"[[150 150 149 ... 150 150 150]
 [149 150 150 ... 148 145 151]
 [150 150  40 ... 131 135 150]
 ...
 [151 147 153 ...  63  69 150]
 [150 150 150 ...  69  74 150]
 [150 150 150 ... 150 147 150]]",F
22,"[[151 149 149 ... 150 150 150]
 [151 148 153 ... 149 150 150]
 [150 151 181 ... 190 190 152]
 ...
 [151 149 153 ... 120 111 151]
 [150 153 140 ... 111 103 150]
 [150 148 151 ... 151 152 151]]",M
23,"[[150 149 151 ... 151 151 149]
 [149 152 149 ... 150 152 149]
 [151 148 124 ...  51  55 150]
 ...
 [151 150 132 ...  30  42 148]
 [149 148 138 ...  40  46 148]
 [150 152 149 ... 150 150 151]]",F
24,"[[150 149 149 ... 150 149 150]
 [150 152 154 ... 149 154 147]
 [150 147 130 ...  28  39 150]
 ...
 [150 153  43 ...  19  29 151]
 [150 148  52 ...  25  39 151]
 [150 153 151 ... 149 156 148]]",F
25,"[[149 151 149 ... 149 151 150]
 [151 147 153 ... 150 152 151]
 [149 152  35 ...  55  64 147]
 ...
 [149 152  35 ...  17  31 148]
 [150 147  41 ...  33  40 150]
 [150 152 151 ... 149 150 152]]",F
26,"[[150 149 152 ... 149 149 150]
 [149 152 145 ... 149 151 147]
 [150 153 140 ... 107  95 152]
 ...
 [148 156 113 ... 113 121 150]
 [151 141 106 ...  93 122 153]
 [148 155 148 ... 153 150 147]]",F
27,"[[150 150 149 ... 150 148 150]
 [150 147 153 ... 149 154 149]
 [152 151 163 ... 213 201 150]
 ...
 [151 155 113 ... 203 208 150]
 [151 147 116 ... 206 194 152]
 [151 150 149 ... 152 153 147]]",M
28,"[[149 151 149 ... 149 151 151]
 [150 152 149 ... 151 150 150]
 [151 151 135 ...  69  69 150]
 ...
 [149 153  48 ...  15  27 151]
 [150 147  68 ...  26  39 150]
 [150 149 151 ... 151 149 151]]",M
29,"[[152 148 150 ... 150 152 147]
 [147 153 150 ... 154 145 153]
 [151 150  64 ...  99  97 149]
 ...
 [150 148  35 ...  37  42 154]
 [150 151  41 ...  49  46 147]
 [150 151 149 ... 146 158 150]]",M
30,"[[149 148 151 ... 150 150 150]
 [150 151 147 ... 147 149 151]
 [151 151  43 ...  44  54 149]
 ...
 [149 150  97 ... 128 125 148]
 [151 150  71 ... 133 140 147]
 [149 152 150 ... 148 147 150]]",M
